# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
201,ITANARA,ITANARA,18,1
202,FRANCISCO CABALLERO ALVAREZ,FRANCISCO CABALLERO ALVAREZ,18,1
203,GRAL.JOSE EDUVIGIS DIAZ,GRAL.JOSE EDUVIGIS DIAZ,13,1
205,VILLA FRANCA,VILLA FRANCA,13,1
206,POZO COLORADO,POZO COLORADO,15,1
207,SALTO DEL GUAIRA,SALTO DEL GUAIRA,18,1
209,SANTA RITA,SANTA RITA,11,1
210,MINGA GUAZU,MINGA GUAZU,11,1
211,LOS CEDRALES,LOS CEDRALES,11,1
212,SAN ALBERTO,SAN ALBERTO,11,1
213,MINGA PORA,MINGA PORA,11,1
214,MBOCAYATY DEL YHAGUY,MBOCAYATY DEL YHAGUY,4,1
215,NARANJAL,NARANJAL,11,1
216,SANTA ROSA DEL MONDAY,SANTA ROSA DEL MONDAY,11,1
217,IRUNA,IRUÑA,11,1
218,PUERTO CASADO,PUERTO CASADO,17,1
219,MBARACAYU,MBARACAYU,11,1
220,GUAYAIBI,GUAYAIBI,3,1
221,PIRAPO,PIRAPO,8,1
223,PUERTO GUARANI,PUERTO GUARANI,17,1
225,PASO YOBAY,PASO YOBAY,5,1
226,CAPIIBARY,CAPIIBARY,3,1
227,3 DE FEBRERO,3 DE FEBRERO,6,1
228,SIMON BOLIVAR,SIMON BOLIVAR,6,1
229,LA PASTORA,LA PASTORA,6,1
230,VILLA FRANCA,VILLA FRANCA,13,1
231,VILLALBIN,VILLALBIN,13,1
232,ITAPUA POTY,ITAPUA POTY,8,1
233,MAYOR PABLO LAGERENZA,MAYOR PABLO LAGERENZA,17,1
234,GRAL. EUGENIO A. GARAY,GRAL. EUGENIO A. GARAY,16,1
235,LA PALOMA,LA PALOMA,18,1
236,KATUETE,KATUETE,18,1
237,VAQUERIA,VAQUERIA,6,1
238,NUEVA ESPERANZA,NUEVA ESPERANZA,18,1
239,SANTA FE DEL PARANA,SANTA FE DEL PARANA,11,1
240,NUEVA ESPERANZA,NUEVA ESPERANZA,11,1
241,YASY KANY,YASY KAÑY,18,1
242,JOSE FALCON,JOSE FALCON,15,1
243,FEDERICO CHAVEZ,FEDERICO CHAVEZ,8,1
244,ESCULIES,ESCULIES,6,1
245,YRYBUCUA,YRYBUCUA,3,1
246,SIN EQUIVALENCIA,SIN EQUIVALENCIA,5,1
259,FILADELFIA,FILADELFIA,16,1
260,LOMA PLATA,LOMA PLATA,16,1
261,TTE. 1RO. IRALA FERNANDEZ,TTE. 1RO. IRALA FERNANDEZ,15,1
262,ALTO VERA,ALTO VERA,8,1
263,SANTA ROSA DEL AGUARAY,SANTA ROSA DEL AGUARAY,3,1
264,TENIENTE ESTEBAN MARTINEZ,TENIENTE ESTEBAN MARTINEZ,15,1
265,TEBICUARY,TEBICUARY,5,1
266,CARMELO PERALTA,CARMELO PERALTA,17,1
267,SAN CARLOS DEL APA,SAN CARLOS DEL APA,2,1
268,LIBERACION,LIBERACIÓN,3,1
269,TAVAPY,TAVAPY,11,1
270,SARGENTO JOSE FELIX LOPEZ,SARGENTO JOSE FELIX LOPEZ,2,1
271,YBYRAROBANA,YBYRAROBANA,18,1
272,3 DE MAYO,3 DE MAYO,7,1
273,DR. RAUL PENA,DR. RAUL PEÑA,11,1
274,YBY PYTA,YBY PYTA,18,1
275,TEMBIAPORA,TEMBIAPORA,6,1
