# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
179,AGUILERA CUE,AGUILERA CUE,12,1
180,ARAZA,ARAZA,12,1
181,ARAZAPETY,ARAZAPETY,12,1
182,CHAMORRO CUE,CHAMORRO CUE,12,1
183,COL. GRAL. AQUINO,COL. GRAL. AQUINO,12,1
184,COL. MBATETE,COL. MBATETE,12,1
185,COL. SAN JOSE,COL. SAN JOSE,12,1
186,COL. TRANQUERA,COL. TRANQUERA,12,1
187,COL. TRINAQUIA,COL. TRINAQUIA,12,1
188,COL. YURUHEI,COL. YURUHEI,12,1
189,JHUGUA POI,JHUGUA POI,12,1
190,MANDIYUTY CUE,MANDIYUTY CUE,12,1
191,MUNICIPIO,MUNICIPIO,12,1
192,OCIOSO,OCIOSO,12,1
193,PARAY,PARAY,12,1
194,PINDOTY,PINDOTY,12,1
195,POLENTO CUE,POLENTO CUE,12,1
196,POTRERO - CUE,POTRERO - CUE,12,1
197,REDONDO,REDONDO,12,1
198,SAN FRANCISCO,SAN FRANCISCO,12,1
199,SAN PEDRO,SAN PEDRO,12,1
200,SANTA CLARA,SANTA CLARA,12,1
201,VALLE - MI,VALLE - MI,12,1
202,YCUA PINDO,YCUA PINDO,12,1
203,YURUJHEI,YURUJHEI,12,1
204,NANDEYARA,ÑANDEYARA,12,1
205,NANDUEVA - I,ÑANDUEVA - I,12,1
206,ITACURUBI DEL ROSARIO,ITACURUBI DEL ROSARIO,13,1
207,AGUAPEY,AGUAPEY,13,1
208,AGUAY - CUE,AGUAY - CUE,13,1
209,AMANECER,AMANECER,13,1
210,AZCURRA,AZCURRA,13,1
211,BARRERO,BARRERO,13,1
212,BOLAS - CUA,BOLAS - CUA,13,1
213,BOQUERON,BOQUERON,13,1
214,CABAYU RAY CARAJHU,CABAYU RAY CARAJHU,13,1
215,CABAYU ROY,CABAYU ROY,13,1
