id,code,name,state_id:id,active
district_py_129,129,CARAPEGUA,l10n_py_base.state_py_10,True
district_py_130,130,LA COLMENA,l10n_py_base.state_py_10,True
district_py_131,131,ESCOBAR,l10n_py_base.state_py_10,True
district_py_132,132,MBUYAPEY,l10n_py_base.state_py_10,True
district_py_133,133,PIRAYU,l10n_py_base.state_py_10,True
district_py_134,134,QUIINDY,l10n_py_base.state_py_10,True
district_py_135,135,ROQUE GONZALEZ,l10n_py_base.state_py_10,True
district_py_136,136,SAPUCAI,l10n_py_base.state_py_10,True
district_py_137,137,YBYCUI,l10n_py_base.state_py_10,True
district_py_138,138,QUYQUYHO,l10n_py_base.state_py_10,True
district_py_139,139,YBYTYMI,l10n_py_base.state_py_10,True
district_py_140,140,TEBICUARY MI,l10n_py_base.state_py_10,True
district_py_141,141,YAGUARON,l10n_py_base.state_py_10,True
district_py_142,142,HERNANDARIAS,l10n_py_base.state_py_11,True
district_py_143,143,DOMINGO MARTINEZ DE IRALA,l10n_py_base.state_py_11,True
district_py_144,144,ÑACUNDAY,l10n_py_base.state_py_11,True
district_py_145,145,CIUDAD DEL ESTE,l10n_py_base.state_py_11,True
district_py_146,146,JUAN LEON MALLORQUIN,l10n_py_base.state_py_11,True
district_py_147,147,ITAKYRY,l10n_py_base.state_py_11,True
district_py_148,148,JUAN E.O'LEARY,l10n_py_base.state_py_11,True
district_py_149,149,PRESIDENTE FRANCO,l10n_py_base.state_py_11,True
district_py_150,150,YGUAZU,l10n_py_base.state_py_11,True
district_py_151,151,SAN CRISTOBAL,l10n_py_base.state_py_11,True
district_py_152,152,AREGUA,l10n_py_base.state_py_12,True
district_py_153,153,CAPIATA,l10n_py_base.state_py_12,True
district_py_154,154,FERNANDO DE LA MORA,l10n_py_base.state_py_12,True
district_py_155,155,GUARAMBARE,l10n_py_base.state_py_12,True
district_py_156,156,ITA,l10n_py_base.state_py_12,True
district_py_157,157,ITAUGUA,l10n_py_base.state_py_12,True
district_py_158,158,LIMPIO,l10n_py_base.state_py_12,True
district_py_159,159,LUQUE,l10n_py_base.state_py_12,True
district_py_160,160,MARIANO ROQUE ALONSO,l10n_py_base.state_py_12,True
district_py_161,161,ÑEMBY,l10n_py_base.state_py_12,True
district_py_162,162,NUEVA ITALIA,l10n_py_base.state_py_12,True
district_py_163,163,SAN ANTONIO,l10n_py_base.state_py_12,True
district_py_164,164,SAN LORENZO,l10n_py_base.state_py_12,True
district_py_165,165,VILLA ELISA,l10n_py_base.state_py_12,True
district_py_166,166,VILLETA,l10n_py_base.state_py_12,True
district_py_167,167,YPACARAI,l10n_py_base.state_py_12,True
district_py_168,168,YPANE,l10n_py_base.state_py_12,True
district_py_169,169,LAMBARE,l10n_py_base.state_py_12,True
district_py_170,170,J.AUGUSTO SALDIVAR,l10n_py_base.state_py_12,True
district_py_171,171,PILAR,l10n_py_base.state_py_13,True
district_py_172,172,ALBERDI,l10n_py_base.state_py_13,True
district_py_173,173,CERRITO,l10n_py_base.state_py_13,True
district_py_174,174,DESMOCHADOS,l10n_py_base.state_py_13,True
district_py_175,175,GUAZU CUA,l10n_py_base.state_py_13,True
district_py_176,176,HUMAITA,l10n_py_base.state_py_13,True
district_py_177,177,ISLA UMBU,l10n_py_base.state_py_13,True
district_py_178,178,LAURELES,l10n_py_base.state_py_13,True
district_py_179,179,PASO DE PATRIA,l10n_py_base.state_py_13,True
district_py_180,180,MAYOR J.D.MARTINEZ,l10n_py_base.state_py_13,True
district_py_181,181,SAN JUAN DE ÑEEMBUCU,l10n_py_base.state_py_13,True
district_py_182,182,TACUARAS,l10n_py_base.state_py_13,True
district_py_183,183,VILLA OLIVA,l10n_py_base.state_py_13,True
district_py_184,184,VILLALBIN,l10n_py_base.state_py_13,True
district_py_185,185,PEDRO JUAN CABALLERO,l10n_py_base.state_py_14,True
district_py_186,186,BELLA VISTA,l10n_py_base.state_py_14,True
district_py_187,187,CAPITAN BADO,l10n_py_base.state_py_14,True
district_py_188,188,VILLA HAYES,l10n_py_base.state_py_15,True
district_py_189,189,BENJAMIN ACEVAL(MONTE SOCIEDAD,l10n_py_base.state_py_15,True
district_py_190,190,PTO.PINAZCO,l10n_py_base.state_py_15,True
district_py_191,191,NANAWA,l10n_py_base.state_py_15,True
district_py_192,192,MCAL.ESTIGARRIBIA,l10n_py_base.state_py_16,True
district_py_193,193,BOQUERON,l10n_py_base.state_py_16,True
district_py_194,194,PEDRO P.PEÑA,l10n_py_base.state_py_16,True
district_py_195,195,FUERTE OLIMPO,l10n_py_base.state_py_17,True
district_py_196,196,BAHIA NEGRA,l10n_py_base.state_py_17,True
district_py_197,197,SAN ISIDRO DEL CURUGUATY,l10n_py_base.state_py_18,True
district_py_198,198,VILLA YGATIMI,l10n_py_base.state_py_18,True
district_py_199,199,YPEJHU,l10n_py_base.state_py_18,True
district_py_200,200,CORPUS CHRISTI,l10n_py_base.state_py_18,True
district_py_201,201,ITANARA,l10n_py_base.state_py_18,True
district_py_202,202,FRANCISCO CABALLERO ALVAREZ,l10n_py_base.state_py_18,True
district_py_203,203,GRAL.JOSE EDUVIGIS DIAZ,l10n_py_base.state_py_13,True
district_py_205,205,VILLA FRANCA,l10n_py_base.state_py_13,True
district_py_206,206,POZO COLORADO,l10n_py_base.state_py_15,True
district_py_207,207,SALTO DEL GUAIRA,l10n_py_base.state_py_18,True
district_py_209,209,SANTA RITA,l10n_py_base.state_py_11,True
district_py_210,210,MINGA GUAZU,l10n_py_base.state_py_11,True
district_py_211,211,LOS CEDRALES,l10n_py_base.state_py_11,True
district_py_212,212,SAN ALBERTO,l10n_py_base.state_py_11,True
district_py_213,213,MINGA PORA,l10n_py_base.state_py_11,True
district_py_214,214,MBOCAYATY DEL YHAGUY,l10n_py_base.state_py_4,True
district_py_215,215,NARANJAL,l10n_py_base.state_py_11,True
district_py_216,216,SANTA ROSA DEL MONDAY,l10n_py_base.state_py_11,True
district_py_217,217,IRUÑA,l10n_py_base.state_py_11,True
district_py_218,218,PUERTO CASADO,l10n_py_base.state_py_17,True
district_py_219,219,MBARACAYU,l10n_py_base.state_py_11,True
district_py_220,220,GUAYAIBI,l10n_py_base.state_py_3,True
district_py_221,221,PIRAPO,l10n_py_base.state_py_8,True
district_py_223,223,PUERTO GUARANI,l10n_py_base.state_py_17,True
district_py_225,225,PASO YOBAY,l10n_py_base.state_py_5,True
district_py_226,226,CAPIIBARY,l10n_py_base.state_py_3,True
district_py_227,227,3 DE FEBRERO,l10n_py_base.state_py_6,True
district_py_228,228,SIMON BOLIVAR,l10n_py_base.state_py_6,True
district_py_229,229,LA PASTORA,l10n_py_base.state_py_6,True
district_py_230,230,VILLA FRANCA,l10n_py_base.state_py_13,True
district_py_231,231,VILLALBIN,l10n_py_base.state_py_13,True
district_py_232,232,ITAPUA POTY,l10n_py_base.state_py_8,True
district_py_233,233,MAYOR PABLO LAGERENZA,l10n_py_base.state_py_17,True
district_py_234,234,GRAL. EUGENIO A. GARAY,l10n_py_base.state_py_16,True
district_py_235,235,LA PALOMA,l10n_py_base.state_py_18,True
district_py_236,236,KATUETE,l10n_py_base.state_py_18,True
district_py_237,237,VAQUERIA,l10n_py_base.state_py_6,True
district_py_238,238,NUEVA ESPERANZA,l10n_py_base.state_py_18,True
district_py_239,239,SANTA FE DEL PARANA,l10n_py_base.state_py_11,True
district_py_240,240,NUEVA ESPERANZA,l10n_py_base.state_py_11,True
district_py_241,241,YASY KAÑY,l10n_py_base.state_py_18,True
district_py_242,242,JOSE FALCON,l10n_py_base.state_py_15,True
district_py_243,243,FEDERICO CHAVEZ,l10n_py_base.state_py_8,True
district_py_244,244,ESCULIES,l10n_py_base.state_py_6,True
district_py_245,245,YRYBUCUA,l10n_py_base.state_py_3,True
district_py_246,246,SIN EQUIVALENCIA,l10n_py_base.state_py_5,True
district_py_259,259,FILADELFIA,l10n_py_base.state_py_16,True
district_py_260,260,LOMA PLATA,l10n_py_base.state_py_16,True
district_py_261,261,TTE. 1RO. IRALA FERNANDEZ,l10n_py_base.state_py_15,True
